Código;Procedimento 
406010129;COLOCACAO DE BALAO INTRA-AORTICO
406010137;CORRECAO DE ANEURISMA / DISSECCAO DA AORTA TORACO-ABDOMINAL
406010153;CORRECAO DE ATRESIA PULMONAR E COMUNICACAO INTERVENTRICULAR
406010161;CORRECAO DE ATRIO UNICO
406010188;CORRECAO DE COARCTACAO DA AORTA
406010196;CORRECAO DE COMUNICACAO INTER-VENTRICULAR
406010200;CORRECAO DE COMUNICACAO INTER-VENTRICULAR E INSUFICIENCIA AORTICA
406010242;CORRECAO DE DRENAGEM ANOMALA PARCIAL DE VEIAS PULMONARES
406010250;CORRECAO DE DRENAGEM ANOMALA TOTAL DE VEIAS PULMONARES
406010323;CORRECAO DE HIPERTROFIA SEPTAL ASSIMETRICA
406010340;CORRECAO DE INSUFICIENCIA DA VALVULA TRICUSPIDE
406010358;CORRECAO DE INSUFICIENCIA MITRAL CONGENITA
406010404;CORRECAO DE PERSISTENCIA DO CANAL ARTERIAL
406010420;CORRECAO DE TETRALOGIA DE FALLOT E VARIANTES (0 a 3 ANOS)
406010439;CORRECAO DE TETRALOGIA DE FALLOT E VARIANTES (04 A 110 ANOS)
406010463;CORRECAO DE TRONCO ARTERIOSO PERSISTENTE
406010471;CORRECAO DE VENTRICULO UNICO
406010480;CORRECAO DO CANAL ATRIO-VENTRICULAR (PARCIAL / INTERMEDIARIO)
406010498;CORRECAO DO CANAL ATRIO-VENTRICULAR (TOTAL)
406010510;DRENAGEM C/ BIOPSIA DE PERICARDIO
406010528;EXERESE DE CISTO PERICARDICO
406010536;FECHAMENTO DE COMUNICACAO INTERATRIAL
406010544;FECHAMENTO DE COMUNICACAO INTERVENTRICULAR
406010560;IMPLANTE DE CARDIOVERSOR DESFIBRILADOR DE CAMARA UNICA TRANSVENOSO
406010587;IMPLANTE DE CARDIOVERSOR DESFIBRILADOR DE CAMARA DUPLA TRANSVENOSO
406010609;IMPLANTE DE CARDIOVERSOR DESFIBRILADOR (CDI) MULTI-SITIO TRANSVENOSO
406010625;IMPLANTE DE MARCAPASSO CARDIACO MULTI-SITIO EPIMIOCARDICO POR TORACOTOMIA P/IMPLANTE DE ELETRODO
406010633;IMPLANTE DE MARCAPASSO CARDIACO MULTI-SITIO TRANSVENOSO
406010641;IMPLANTE DE MARCAPASSO DE CAMARA DUPLA EPIMIOCARDICO
406010650;IMPLANTE DE MARCAPASSO DE CAMARA DUPLA TRANSVENOSO
406010676;IMPLANTE DE MARCAPASSO DE CAMARA UNICA TRANSVENOSO
406010684;IMPLANTE DE MARCAPASSO TEMPORARIO TRANSVENOSO
406010692;IMPLANTE DE PROTESE VALVAR
406010706;INFARTECTOMIA / ANEURISMECTOMIA ASSOCIADA OU NAO A REVASCULARIZACAO MIOCARDICA
406010714;INSTALACAO DE ASSISTENCIA CIRCULATORIA
406010722;INSTALACAO DE CATETER DE TERMODILUICAO
406010749;MANUTENCAO DE ASSISTENCIA CIRCULATORIA 
406010757;PERICARDIECTOMIA
406010765;PERICARDIECTOMIA PARCIAL
406010773;PERICARDIOCENTESE
406010781;PLASTICA / TROCA DE VALVULA TRICUSPIDE (ANOMALIA DE EBSTEIN)
406010803;PLASTICA VALVAR
406010811;PLASTICA VALVAR C/ REVASCULARIZACAO MIOCARDICA
406010820;PLASTICA VALVAR E/OU TROCA VALVAR MULTIPLA
406010838;RECONSTRUCAO DA RAIZ DA AORTA
406010846;RECONSTRUCAO DA RAIZ DA AORTA C/ TUBO VALVADO
406010854;REPOSICIONAMENTO DE ELETRODOS DE CARDIOVERSOR DESFIBRILADOR
406010862;REPOSICIONAMENTO DE ELETRODOS DE MARCAPASSO
406010897;RESSECCAO DE MEMBRANA SUB-AORTICA
406010900;RESSECCAO DE TUMOR INTRACARDIACO
406010919;RETIRADA DE SISTEMA DE ESTIMULACAO CARDIACA ARTIFICIAL
406010927;REVASCULARIZACAO MIOCARDICA C/ USO DE EXTRACORPOREA
406010935;REVASCULARIZACAO MIOCARDICA C/ USO DE EXTRACORPOREA (C/ 2 OU MAIS ENXERTOS)
406010943;REVASCULARIZACAO MIOCARDICA S/ USO DE EXTRACORPOREA
406010951;REVASCULARIZACAO MIOCARDICA S/ USO DE EXTRACORPOREA (C/ 2 OU MAIS ENXERTOS)
406010986;TROCA DE AORTA ASCENDENTE
406010994;TROCA DE ARCO AORTICO
406011036;TROCA DE ELETRODOS DE MARCAPASSO DE CAMARA DUPLA
406011044;TROCA DE ELETRODOS DE MARCAPASSO DE CAMARA UNICA
406011087;TROCA DE ELETRODOS DE MARCAPASSO NO MARCAPASSO MULTI-SITIO
406011095;TROCA DE ELETRODOS DE SEIO CORONARIO NO CARDIOVERSOR DESFIBRILADOR MULTI-SITIO
406011109;TROCA DE GERADOR DE CARDIO-DESFIBRILADOR DE CAMARA UNICA / DUPLA
406011117;TROCA DE GERADOR DE CARDIO-DESFIBRILADOR MULTI-SITIO
406011125;TROCA DE GERADOR DE MARCAPASSO DE CAMARA DUPLA
406011133;TROCA DE GERADOR DE MARCAPASSO DE CAMARA UNICA
406011141;TROCA DE GERADOR DE MARCAPASSO MULTI-SITIO
406011150;TROCA DE GERADOR E DE ELETRODO DE MARCAPASSO DE CAMARA UNICA
406011168;TROCA DE GERADOR E DE ELETRODOS DE CARDIO-DESFIBRILADOR
406011184;TROCA DE GERADOR E DE ELETRODOS DE MARCAPASSO DE CAMARA DUPLA
406011206;TROCA VALVAR C/ REVASCULARIZACAO MIOCARDICA
406020043;ANEURISMECTOMIA DE AORTA ABDOMINAL INFRA-RENAL
406020051;ANEURISMECTOMIA TORACO-ABDOMINAL
406020078;IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL)
406020108;DISSECCAO RADICAL DO PESCOCO
406020116;DRENAGEM DE GANGLIO LINFATICO
406020124;EMBOLECTOMIA ARTERIAL
406020159;EXERESE DE GANGLIO LINFATICO
406020167;FASCIOTOMIA P/ DESCOMPRESSAO
406020191;LINFADENECTOMIA PELVICA
406020213;LINFADENECTOMIA RADICAL AXILAR BILATERAL
406020221;LINFADENECTOMIA RADICAL AXILAR UNILATERAL
406020230;LINFADENECTOMIA RADICAL CERVICAL BILATERAL
406020248;LINFADENECTOMIA RADICAL CERVICAL UNILATERAL
406020256;LINFADENECTOMIA RADICAL INGUINAL BILATERAL
406020264;LINFADENECTOMIA RADICAL INGUINAL UNILATERAL
406020280;LINFADENECTOMIA RETROPERITONIAL
406020302;PLASTIA ARTERIAL C/ REMENDO (QUALQUER TECNICA)
406020337;PONTE DE RAMOS DOS TRONCOS SUPRA-AORTICOS
406020345;PONTE FEMORO-FEMURAL CRUZADA
406020353;PONTE-TROMBOENDARTERECTOMIA AORTO-FEMURAL
406020361;PONTE-TROMBOENDARTERECTOMIA AORTO-ILIACA
406020370;PONTE-TROMBOENDARTERECTOMIA DE CAROTIDA
406020388;PONTE-TROMBOENDARTERECTOMIA ILIACO-FEMURAL
406020400;RETIRADA DE PROTESE INFECTADA EM POSICAO NAO AORTICA
406020426;REVASCULARIZACAO DO MEMBRO SUPERIOR
406020434;REVASCULARIZACAO POR PONTE / TROMBOENDARTERECTOMIA DE OUTRAS ARTERIAS DISTAIS
406020442;REVASCULARIZACAO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLITEA DISTAL
406020450;REVASCULARIZACAO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLITEA PROXIMAL
406020469;TRANSPLANTE DE SEGMENTO VENOSO VALVULADO
406020477;TRANSPOSICAO DE VEIAS DO SISTEMA VENOSO PROFUNDO
406020493;TRATAMENTO CIRURGICO DE LESOES VASCULARES TRAUMATICAS DA REGIAO CERVICAL
406020507;TRATAMENTO CIRURGICO DE LESOES VASCULARES TRAUMATICAS DE MEMBRO INFERIOR BILATERAL
406020515;TRATAMENTO CIRURGICO DE LESOES VASCULARES TRAUMATICAS DE MEMBRO INFERIOR UNILATERAL
406020523;TRATAMENTO CIRURGICO DE LESOES VASCULARES TRAUMATICAS DE MEMBRO SUPERIOR BILATERAL
406020531;TRATAMENTO CIRURGICO DE LESOES VASCULARES TRAUMATICAS DE MEMBRO SUPERIOR UNILATERAL
406020540;TRATAMENTO CIRURGICO DE LESOES VASCULARES TRAUMATICAS DO ABDOMEN
406020566;TRATAMENTO CIRURGICO DE VARIZES (BILATERAL)
406020574;TRATAMENTO CIRURGICO DE VARIZES (UNILATERAL)
406020590;TROMBECTOMIA DO SISTEMA VENOSO
406020612;IMPLANTACAO DE CATETER DE LONGA PERMANENCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO ESPECIAL)
406020620;RETIRADA DE CATETER DE LONGA PERMANENCIA SEMI OU TOTALMENTE  IMPLANTÁVEL
406030014;ANGIOPLASTIA CORONARIANA
406030022;ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS
406030030;ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE STENT
406030049;ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUI CATETERISMO)
406030057;ANGIOPLASTIA COM IMPLANTE DE DUPLO STENT EM AORTA/ARTERIA PULMONAR E RAMOS
406030073;ANGIOPLASTIA EM ENXERTO CORONARIANO (C/ IMPLANTE DE stent)
406030081;ATRIOSEPTOSTOMIA C/ CATETER BALAO
406030090;FECHAMENTO PERCUTANEO DO CANAL ARTERIAL / FISTULAS ARTERIOVENOSAS C/ LIBERACAO DE COILS
406030103;RETIRADA DE CORPO ESTRANHO DE SISTEMA CARDIOVASCULAR POR TECNICAS HEMODINAMICAS
406030111;VALVULOPLASTIA AORTICA PERCUTANEA
406030120;VALVULOPLASTIA MITRAL PERCUTANEA
406030138;VALVULOPLASTIA PULMONAR PERCUTANEA
406040010;ALCOOLIZACAO PERCUTANEA DE HEMANGIOMA E MALFORMACAO VENOSAS (INCLUI ESTUDO ANGIOGRAFICO)
406040028;ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILIACOS (C/ STENT)
406040044;ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILIACOS (S/ STENT)
406040052;ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT)
406040060;ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (C/ STENT NAO RECOBERTO)
406040095;ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOCO OU TRONCOS SUPRA-AORTICOS (C/ STENT NAO RECOBERTO)
406040109;ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS C/ STENT NAO RECOBERTO
406040125;ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS / RENAIS
406040141;COLOCACAO PERCUTANEA DE FILTRO DE VEIA CAVA (NA TROMBOSE VENOSA PERIFERICA E EMBOLIA PULMONAR)
406040150;CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA ABDOMINAL C/ ENDOPROTESE RETA / CONICA
406040168;CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA ABDOMINAL E ILIACAS C/ ENDOPROTESE BIFURCADA
406040176;CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA TORACICA C/ ENDOPROTESE RETA OU CONICA
406040184;CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DAS ILIACAS C/ ENDOPROTESE TUBULAR
406040192;EMBOLIZACAO ARTERIAL DE HEMORRAGIA DIGESTIVA  (INCLUI PROCEDIMENTO ENDOSCOPICO E/OU ESTUDO ANGIOGRAFICO)
406040206;EMBOLIZACAO DE MALFORMACAO VASCULAR ARTERIO-VENOSA (INCLUI ESTUDO ANGIOGRAFICO)
406040214;EMBOLIZACAO DE MALFORMACAO VASCULAR POR PUNCAO DIRETA (INCLUI DROGAS EMBOLIZANTES)
406040222;FECHAMENTO PERCUTANEO DE FISTULAS ARTERIOVENOSAS C/ LIBERACAO DE COILS
406040273;OCLUSAO PERCUTANEA ENDOVASCULAR DE ARTERIA / VEIA
406040281;RECONSTRUCAO DA BIFURCACAO AORTO-ILIACA C/ ANGIOPLASTIA E STENTS
406040290;TRATAMENTO DE EPISTAXE POR EMBOLIZACAO (INCLUI ESTUDO ANGIOGRAFICO E/OU ENDOSCOPICO)
406040303;TRATAMENTO DE HEMATURIA OU SANGRAMENTO GENITAL POR EMBOLIZACAO (INCLUI ESTUDO ANGIOGRAFICO E/OU ENDOSCOPICO)
406040311;TRATAMENTO DE HEMOPTISE POR EMBOLIZACAO PERCUTANEA (INCLUI ESTUDO ANGIOGRAFICO)
406040320;TRATAMENTO ENDOVASCULAR DE FISTULAS ARTERIOVENOSAS
406040338;TRATAMENTO ENDOVASCULAR DO PSEUDOANEURISMA
406050015;ESTUDO ELETROFISIOLOGICO DIAGNOSTICO
406050023;ESTUDO ELETROFISIOLOGICO TERAPEUTICO I (ABLACAO DE FLUTTER ATRIAL)
406050031;ESTUDO ELETROFISIOLOGICO TERAPEUTICO I (ABLACAO DE TAQUICARDIA ATRIAL DIREITA)
406050040;ESTUDO ELETROFISIOLOGICO TERAPEUTICO I
406050058;ESTUDO ELETROFISIOLOGICO TERAPEUTICO I (ABLACAO DO NODULO ARCHOV-TAWARA)
406050066;ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DAS VIAS ANOMALAS MULTIPLAS)
406050074;ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DE FIBRILACAO ATRIAL)
406050112;ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DE TAQUICARDIA VENTRICULAR IDIOPATICA DO SEIO DE VALSALVA ESQUERDO)
406050120;ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DE TAQUICARDIA VENTRICULAR SUSTENTADA C/ CARDIOPATIA ESTRUTURAL)
406050139;ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DE VIAS ANOMALAS ESQUERDAS)
407010017;DEGASTROGASTRECTOMIA C/ OU S/ VAGOTOMIA
407010033;ESOFAGECTOMIA DISTAL C/ TORACOTOMIA
407010041;ESOFAGECTOMIA DISTAL S/ TORACOTOMIA
407010068;ESOFAGO-COLONPLASTIA
407010084;ESOFAGOPLASTIA / GASTROPLASTIA
407010092;ESOFAGORRAFIA CERVICAL
407010114;ESOFAGOSTOMIA
407010130;GASTRECTOMIA PARCIAL C/ OU S/ VAGOTOMIA
407010149;GASTRECTOMIA TOTAL
407010157;GASTRECTOMIA VIDEOLAPAROSCOPICA
407010165;GASTROENTEROANASTOMOSE
407010173;GASTROPLASTIA C/ DERIVACAO INTESTINAL
407010181;GASTROPLASTIA VERTICAL C/ BANDA
407010190;GASTRORRAFIA
407010203;GASTRORRAFIA VIDEOLAPAROSCOPICA
407010211;GASTROSTOMIA
407010220;GASTROSTOMIA VIDEOLAPAROSCOPICA
407010238;PILOROPLASTIA
407010246;RETIRADA DE CORPO ESTRANHO DO TUBO DIGESTIVO POR ENDOSCOPIA
407010254;RETIRADA DE POLIPO DO TUBO DIGESTIVO POR ENDOSCOPIA
407010270;TRATAMENTO CIRURGICO DE ACALASIA (CARDIOMIOPLASTIA)
407010297;TRATAMENTO CIRURGICO DE REFLUXO GASTROESOFAGICO
407010300;TRATAMENTO CIRURGICO DE VARIZES ESOFAGICAS
407010335;TRATAMETO CIRURGICO DE MEGAESOFAGO SEM RESSECCAO / CONSERVADOR
407020012;AMPUTACAO COMPLETA ABDOMINO-PERINEAL DO RETO
407020020;AMPUTACAO POR PROCIDENCIA DE RETO
407020039;APENDICECTOMIA
407020047;APENDICECTOMIA VIDEOLAPAROSCOPICA
407020063;COLECTOMIA PARCIAL (HEMICOLECTOMIA)
407020071;COLECTOMIA TOTAL
407020080;COLECTOMIA VIDEOLAPAROSCOPICA
407020098;COLORRAFIA POR VIA ABDOMINAL
407020101;COLOSTOMIA
407020128;DILATACAO DIGITAL / INSTRUMENTAL DO ANUS E/OU RETO
407020136;DRENAGEM DE ABSCESSO ANU-RETAL
407020144;DRENAGEM DE ABSCESSO ISQUIORRETAL
407020152;DRENAGEM DE HEMATOMA / ABSCESSO RETRO-RETAL
407020179;ENTERECTOMIA
407020187;ENTEROANASTOMOSE (QUALQUER SEGMENTO)
407020209;ENTEROTOMIA E/OU ENTERORRAFIA C/ SUTURA / RESSECCAO (QUALQUER SEGMENTO)
407020217;ESFINCTEROTOMIA INTERNA E TRATAMENTO DE FISSURA ANAL
407020225;EXCISAO DE LESAO / TUMOR ANU-RETAL
407020233;EXCISAO DE LESAO INTESTINAL / MESENTERICA LOCALIZADA
407020241;FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO)
407020250;FECHAMENTO DE FISTULA DE COLON
407020268;FECHAMENTO DE FISTULA DE RETO
407020276;FISTULECTOMIA / FISTULOTOMIA ANAL
407020284;HEMORROIDECTOMIA
407020292;HERNIORRAFIA C/ RESSECCAO INTESTINAL (HERNIA ESTRANGULADA)
407020306;JEJUNOSTOMIA / ILEOSTOMIA
407020322;PLASTICA ANAL EXTERNA / ESFINCTEROPLASTIA ANAL
407020349;PROCTOPEXIA ABDOMINAL POR PROCIDENCIA DO RETO
407020357;PROCTOPLASTIA E PROCTORRAFIA POR VIA PERINEAL
407020365;REDUCAO CIRURGICA DE VOLVO POR LAPAROTOMIA
407020381;REMOCAO CIRURGICA DE FECALOMA
407020403;RETOSSIGMOIDECTOMIA ABDOMINAL
407020411;RETOSSIGMOIDECTOMIA ABDOMINO-PERINEAL
407020420;TRATAMENTO CIRURGICO DE ANOMALIAS CONGENITAS DO ANUS E RETO
407020438;TRATAMENTO CIRURGICO DE AUSENCIA DO RETO (ABDOMINO-PERINEAL)
407020462;TRATAMENTO CIRURGICO DE MA ROTACAO INTESTINAL
407020470;TRATAMENTO CIRURGICO DE PROLAPSO ANAL
407030018;ANASTOMOSE BILEO-DIGESTIVA
407030026;COLECISTECTOMIA
407030034;COLECISTECTOMIA VIDEOLAPAROSCOPICA
407030042;COLECISTOSTOMIA
407030050;COLEDOCOPLASTIA
407030069;COLEDOCOTOMIA C/ OU S/ COLECISTECTOMIA
407030077;COLEDOCOTOMIA VIDEOLAPAROSCOPICA
407030123;ESPLENECTOMIA
407030131;HEPATECTOMIA PARCIAL
407030140;HEPATORRAFIA
407030166;HEPATOTOMIA E DRENAGEM DE ABSCESSO / CISTO
407030182;PANCREATECTOMIA PARCIAL
407030204;PANCREATO-DUODENECTOMIA
407030220;PANCREATOTOMIA P/ DRENAGEM
407030247;TRATAMENTO CIRURGICO DE CISTOS PANCREATICOS
407040013;DRENAGEM DE ABSCESSO PELVICO
407040021;DRENAGEM DE ABSCESSO SUBFRENICO
407040030;DRENAGEM DE HEMATOMA / ABSCESSO PRE-PERITONEAL
407040048;HERNIOPLASTIA DIAFRAGMATICA (VIA ABDOMINAL)
407040056;HERNIOPLASTIA DIAFRAGMATICA (VIA TORACICA)
407040064;HERNIOPLASTIA EPIGASTRICA
407040072;HERNIOPLASTIA EPIGASTRICA VIDEOLAPAROSCOPICA
407040080;HERNIOPLASTIA INCISIONAL
407040099;HERNIOPLASTIA INGUINAL (BILATERAL)
407040102;HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL)
407040110;HERNIOPLASTIA RECIDIVANTE
407040129;HERNIOPLASTIA UMBILICAL
407040137;HERNIORRAFIA INGUINAL VIDEOLAPAROSCOPICA
407040145;HERNIORRAFIA S/ RESSECCAO INTESTINAL (HERNIA ESTRANGULADA )
407040153;HERNIORRAFIA UMBILICAL VIDEOLAPAROSCOPICA
407040161;LAPAROTOMIA EXPLORADORA
407040170;LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA
407040188;LIBERACAO DE ADERENCIAS INTESTINAIS
407040196;PARACENTESE ABDOMINAL
407040200;PERITONIOSTOMIA C/ TELA INORGANICA
407040226;REPARACAO DE OUTRAS HERNIAS
407040234;RESSECCAO DO EPIPLOM
407040242;RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO)
407040250;TRATAMENTO CIRURGICO DE PERITONITE
408010045;ARTROPLASTIA ESCAPULO-UMERAL PARCIAL
408010053;ARTROPLASTIA ESCAPULO-UMERAL TOTAL
408010096;ESCAPULOPEXIA C/ OU S/ OSTEOTOMIA DA ESCAPULA / RESSECCAO BARRA OMO-CERVICAL
408010100;OSTECTOMIA DA CLAVICULA OU DA ESCAPULA
408010118;OSTEOTOMIA DA CLAVICULA OU DA ESCAPULA
408010126;REDUCAO INCRUENTA DE FRATURA E FRATURA-LUXACAO AO NIVEL DA CINTURA ESCAPULAR
408010134;REDUCAO INCRUENTA DE LUXACAO OU FRATURA / LUXACAO ESCAPULO-UMERAL
408010142;REPARO DE ROTURA DO MANGUITO ROTADOR (INCLUI PROCEDIMENTOS DESCOMPRESSIVOS)
408010150;TRATAMENTO CIRURGICO DE FRATURA DA CLAVICULA
408010169;TRATAMENTO CIRURGICO DE FRATURA DO COLO E CAVIDADE GLENOIDE DE ESCAPULA
408010185;TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR
408010193;TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESCAPULO-UMERAL AGUDA
408010215;TRATAMENTO CIRURGICO DE LUXACAO RECIDIVANTE / HABITUAL DE ARTICULACAO ESCAPULO-UMERAL
408010223;TRATAMENTO CIRURGICO DE RETARDO DE CONSOLIDACAO DA PSEUDARTROSE DE CLAVICULA / ESCAPULA
408010231;TRATAMENTO CIRURGICO DESCOMPRESSIVO SUB-ACROMIAL
408020016;AMPUTACAO / DESARTICULACAO DE MAO E PUNHO
408020024;AMPUTACAO / DESARTICULACAO DE MEMBROS SUPERIORES
408020032;ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO SUPERIOR
408020040;ARTROPLASTIA DE ARTICULACAO DA MAO
408020059;ARTROPLASTIA DE CABECA DO RADIO
408020075;ARTROPLASTIA TOTAL DE COTOVELO
408020091;CUPULECTOMIA RADIAL / RESSECCAO DO OLECRANO
408020105;FASCIOTOMIA DE MEMBROS SUPERIORES
408020113;INSTALACAO DE TRACAO ESQUELETICA DO MEMBRO SUPERIOR
408020121;REALINHAMENTO DE MECANISMO EXTENSOR DOS DEDOS DA MAO
408020130;RECONSTRUCAO CAPSULO-LIGAMENTAR DE COTOVELO PUNHO
408020148;RECONSTRUCAO DE POLIA TENDINOSA DE MAO
408020156;REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA DE COTOVELO
408020164;REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA DO EXTREMO PROXIMAL DO UMERO
408020172;REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA NO PUNHO
408020180;REDUCAO INCRUENTA DE FRATURA / LUXACAO DE MONTEGGIA OU DE GALEAZZI
408020199;REDUCAO INCRUENTA DE FRATURA DA DIAFISE DO UMERO
408020202;REDUCAO INCRUENTA DE FRATURA DIAFISARIA DOS OSSOS DO ANTEBRACO
408020210;REDUCAO INCRUENTA DE FRATURA DOS METACARPIANOS
408020229;REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO DO COTOVELO
408020237;REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO E METACARPO-FALANGIANA / METATARSO-FALANGIANA / INTER-FALANGIANA
408020245;REDUCAO INCRUENTA DE LUXACAO OU FRATURA / LUXACAO NO PUNHO
408020270;REIMPLANTE OU REVASCULARIZACAO AO NIVEL DA MAO E OUTROS DEDOS (EXCETO POLEGAR)
408020296;REVISAO CIRURGICA DE COTO DE AMPUTACAO DO MEMBRO SUPERIOR (EXCETO MAO)
408020300;TENOSINOVECTOMIA EM MEMBRO SUPERIOR
408020326;TRATAMENTO CIRURGICO DE DEDO EM GATILHO
408020334;TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DA EXTREMIDADE PROXIMAL DO UMERO
408020342;TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DAS FALANGES DA MAO (COM FIXACAO)
408020350;TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DE EPICONDILO / EPITROCLEA DO UMERO
408020369;TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DO CONDILO / TROCANTER DO UMERO / APOFISE CORONARIA DO ULNA / CABECA DO RADIO
408020377;TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METACARPIANOS
408020385;TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA SUPRA-CONDILIANA DO UMERO
408020393;TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DO UMERO
408020407;TRATAMENTO CIRURGICO DE FRATURA DA EXTREMIDADE / METAFISE DISTAL DOS OSSOS DO ANTEBRACO
408020415;TRATAMENTO CIRURGICO DE FRATURA DE EXTREMIDADES / METAFISE PROXIMAL DOS OSSOS DO ANTEBRACO
408020423;TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRACO (C/ SINTESE)
408020431;TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA UNICA DO RADIO / DA ULNA
408020440;TRATAMENTO CIRURGICO DE FRATURA LESAO FISARIA DOS OSSOS DO ANTEBRACO
408020458;TRATAMENTO CIRURGICO DE FRATURA-LUXACAO DE GALEAZZI / MONTEGGIA / ESSEX-LOPRESTI
408020466;TRATAMENTO CIRURGICO DE FRATURAS DOS OSSOS DO CARPO
408020482;TRATAMENTO CIRURGICO DE LESAO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO
408020490;TRATAMENTO CIRURGICO DE LESAO DA MUSCULATURA INTRINSECA DA MAO PARA SUA LIBERACAO
408020512;TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO CARPO-METACARPIANA
408020520;TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO DOS OSSOS DO CARPO
408020539;TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO METACARPO-FALANGIANA
408020547;TRATAMENTO CIRURGICO DE LUXACAO OU FRATURA-LUXACAO DO COTOVELO
408020555;TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DA MAO
408020563;TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DO ANTEBRACO
408020571;TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DO UMERO
408020598;TRATAMENTO CIRURGICO DE PSEUDARTROSE NA REGIAO METAFISO-EPIFISARIA DISTAL DO RADIO E ULNA
408020601;TRATAMENTO CIRURGICO DE PSEUDO-RETARDO / CONSOLIDACAO / PERDA OSSEA AO NIVEL DO CARPO
408020610;TRATAMENTO CIRURGICO DE ROTURA / DESINSERCAO / ARRANCAMENTO CAPSULO-TENO-LIGAMENTAR NA MAO
408020628;TRATAMENTO CIRURGICO DE SINDACTILIA DA MAO (POR ESPACO INTERDIGITAL)
408020644;TRATAMENTO CIRURGICO P/ CENTRALIZACAO DO PUNHO
408030011;ARTRODESE CERVICAL / CERVICO TORACICA POSTERIOR CINCO NIVEIS - INCLUI INSTRUMENTACAO
408030020;ARTRODESE CERVICAL / CERVICO-TORACICA POSTERIOR UM NIVEL - INCLUI INSTRUMENTACAO
408030038;ARTRODESE CERVICAL / CERVICO-TORACICA POSTERIOR DOIS NIVEIS - INCLUI INSTRUMENTACAO
408030046;ARTRODESE CERVICAL / CERVICO-TORACICA POSTERIOR SEIS  NIVEIS - INCLUI INSTRUMENTACAO
